strategy,total_pnl,sharpe_ratio,hit_ratio,max_drawdown,num_trades,avg_pnl_per_trade,win_loss_ratio
S3_Ridge,10626.934093333333,56.549992565624876,100.0,0.0,117,90.82849652421652,90.82849652421652
S6_Ridge,10626.934093333333,56.549992565624876,100.0,0.0,117,90.82849652421652,90.82849652421652
S6_XGBoost,10883.438320000001,54.5367969876991,100.0,0.0,117,93.02084034188036,93.02084034188036
S3_XGBoost,10883.438320000001,54.5367969876991,100.0,0.0,117,93.02084034188036,93.02084034188036
S3_LightGBM,13083.139142666667,52.646244352933024,100.0,0.0,140,93.45099387619048,93.45099387619048
S6_LightGBM,13083.139142666667,52.646244352933024,100.0,0.0,140,93.45099387619048,93.45099387619048
S6_LSTM,12896.168064,51.934691134277195,100.0,0.0,139,92.77818751079137,92.77818751079137
S3_LSTM,12896.168064,51.934691134277195,100.0,0.0,139,92.77818751079137,92.77818751079137
S5_XGBoost,176016.7541333662,36.86703625419647,99.15218312844426,-51.360044269051286,2359,74.61498691537355,5.174653005576219
S5_LSTM,204624.37867917647,35.51696653078378,98.9650249821556,-59.03266930919199,2802,73.0279724051308,3.7067228980037887
S5_Ridge,173470.51342773341,35.39198221542083,99.23696481559983,-51.360044269051286,2359,73.53561400073481,4.534894823008737
S5_LightGBM,204306.04412088296,34.072839852610954,98.4313725490196,-76.88569500506856,2805,72.83637936573368,3.6760912142898894
S1_XGBoost,32798.979999999996,14.854180830117784,88.57566765578635,-58.52000000000044,2696,12.165793768545992,2.216403014055436
S1_LightGBM,35795.259999999995,13.461908914557622,86.46288209606988,-61.43999999999869,3206,11.165084217092948,2.013237541274924
S1_Ridge,30551.97,13.287001146424684,86.23887240356083,-89.36000000000058,2696,11.332333086053413,1.9435380155650492
S1_LSTM,33187.18,12.777452838188513,85.91505309181761,-137.66999999999825,3202,10.364515927545284,1.886150181208701
S4_XGBoost,23.26275645685564,0.006314857357853289,48.417408506429275,-2601.0851041237916,2022,0.011504825151758477,1.0664342455244178
S4_Ridge,23.26275645685564,0.006314857357853289,48.417408506429275,-2601.0851041237916,2022,0.011504825151758477,1.0664342455244178
S2_LSTM,0.0,0.0,0.0,0.0,0,0.0,0.0
S2_XGBoost,0.0,0.0,0.0,0.0,0,0.0,0.0
S2_Ridge,0.0,0.0,0.0,0.0,0,0.0,0.0
Baseline (No Trading),0.0,0.0,0.0,0.0,0,0.0,0.0
S2_LightGBM,0.0,0.0,0.0,0.0,0,0.0,0.0
S4_LightGBM,-967.5074366720804,-0.2227406586948811,49.14760914760915,-2477.7917939419117,2405,-0.4022899944582455,0.9989923518870676
S4_LSTM,-1816.2133508811876,-0.42183132525517575,48.771345272802996,-2562.210211562359,2401,-0.7564403793757549,0.9832299885835561
