mae,rmse,mape,r2,direction_accuracy,bias,error_std,error_q05,error_q95,max_overpredict,max_underpredict,datetime,iteration
12.107841142018636,14.153568180214918,14.685046120885337,-2.4991551503798144,65.21739130434783,4.961988697052002,13.255269156162782,-21.204990859985358,20.235123550415032,21.593015136718748,-22.941550445556643,2024-01-14,2
13.913536109924317,15.2765580145267,16.09279210218065,-0.08733331362833674,78.26086956521739,12.567608477274577,8.684954918313398,-5.141816894531244,24.24345782470703,25.42918823242188,-9.914764404296875,2024-01-15,3
12.443343353271485,14.202778956336505,12.281560736167918,0.5115771794114097,86.95652173913044,-3.1548422241210936,13.847956550461072,-21.57275901794434,20.5729947052002,20.767828674316405,-25.28905426025392,2024-01-16,4
25.399704030354815,29.56411772147132,30.31352472100515,-3.444855726443376,73.91304347826086,25.399704030354815,15.129180143662508,9.451165740966802,55.0309953765869,64.78308227539063,6.975340270996099,2024-01-17,5
8.822019589742025,10.277453606619146,10.698381527963498,0.33705268800846855,78.26086956521739,7.798704821268719,6.693747511441474,-3.815175811767574,17.504096206665032,21.095629882812503,-7.349147949218747,2024-01-18,6
9.392715473175048,10.864954420830435,11.55003887508197,0.22048493466239938,78.26086956521739,8.290717474619548,7.022196118221197,-1.8182189254760717,16.34577793884277,20.42334350585938,-11.069014282226561,2024-01-19,7
13.192260812123616,14.077209687549363,17.322658197870755,-1.109538638372391,82.6086956521739,-13.192260812123616,4.9124420863905565,-23.12461806488037,-8.97828240203858,-3.592515563964838,-23.86415954589843,2024-01-20,8
7.448370380401612,8.990245172766974,13.186079644021584,0.0445218682114672,78.26086956521739,2.9784048652648933,8.482547537445711,-8.151041336059572,15.953878738403322,17.640143737792968,-11.32680450439453,2024-01-21,9
19.44515843073527,24.358657394539915,67.78994983630211,-0.18132431497069135,69.56521739130434,18.621533807118734,15.70295095626641,5.060900039672849,48.528354217529284,50.50423889160156,-9.883495483398434,2024-01-22,10
19.326596959431967,23.084820863101264,83.9860725729018,0.18577290296240612,86.95652173913044,19.326596959431967,12.625038782085007,1.4574151763916028,38.48520732116699,51.85333801269531,0.4952322387695318,2024-01-23,11
23.64809799194336,28.433249307039926,1187.8902943450028,-0.14106734597835846,78.26086956521739,18.93565335591634,21.210627009611496,-17.575328178405762,51.23386038970946,54.4078793334961,-19.65132583618164,2024-01-24,12
15.52302047729492,19.05320390695097,22.640302080646833,-1.5151032808029612,82.6086956521739,-12.122924677530925,14.698954941857716,-32.537364471435545,8.603560775756835,13.537143859863278,-33.934633026123045,2024-01-25,13
13.101353448232013,15.833588875206072,21.466035026126338,-0.5690573791909199,82.6086956521739,13.101353448232013,8.891404528731586,1.1407900848388663,26.03612072753906,27.01988098144531,0.07224731445312216,2024-01-26,14
7.496724325815836,8.681428907801058,14.58232946975997,0.20559492800559165,82.6086956521739,-0.2913746579488121,8.676537828529826,-13.976968059539796,13.566854446411122,14.20297546386719,-14.352617111206058,2024-01-28,16
13.696619281768799,15.497446492829877,16.606473361050128,0.14665806423625372,82.6086956521739,-12.995616334279378,8.443032860905852,-26.859293869018554,2.426096054077149,4.078787689208987,-27.54446197509766,2024-01-29,17
5.33499745686849,6.922691814903285,6.581454592517018,0.5601159875681322,78.26086956521739,3.4126514434814452,6.023078290163007,-5.518231628417973,12.426764251708976,13.377919006347653,-8.976848449707035,2024-01-30,18
14.761482696533202,16.89023978003026,21.546305778459086,-0.2522515271509358,78.26086956521739,1.9791794331868484,16.773879950630587,-17.81543173217774,25.00771878051758,33.16372436523437,-28.362873535156254,2024-01-31,19
11.00080046335856,12.474440703372636,16.363019006648102,0.42781641923236,82.6086956521739,-0.5750915145874025,12.461177336504347,-14.404717437744136,20.851040466308593,22.18324066162109,-15.442433776855466,2024-02-01,20
9.972147852579752,12.396065147654538,15.904666340904077,-0.025576324377048598,82.6086956521739,7.037103322347004,10.204979567618363,-7.388621528625486,20.63539846801758,20.88415740966797,-9.48556900024414,2024-02-02,21
10.318529777526855,14.120936992769686,38.26027110545362,0.2768809235516311,82.6086956521739,7.332738774617513,12.06780028078822,-6.015970886230466,29.550717567443847,33.464657592773435,-11.094245605468757,2024-02-03,22
18.75237299601237,20.831197300451823,218.18388717396408,-0.10084428589414429,82.6086956521739,18.75237299601237,9.071234094034692,6.244273460388182,30.573139602661126,41.10815689086914,0.4268267822265628,2024-02-04,23
15.158380400339764,21.492133921069154,290.41781269781006,0.42873342649281665,82.6086956521739,8.355665136973064,19.801380775085974,-17.671159378051758,45.02996308135986,47.5211067199707,-24.068480834960937,2024-02-05,24
10.26493226369222,12.118233435634247,43.177610203920416,0.6728281058214381,91.30434782608695,10.187509905497233,6.56248607815053,1.7944403686523376,24.007231590270987,26.180509948730467,-0.9290682983398426,2024-02-06,25
8.981145655314128,11.260898879380418,19.27503835885763,0.546729144839637,78.26086956521739,3.0463588333129876,10.84101201135425,-11.818249336242676,19.295462097167963,20.834173889160155,-26.267470550537112,2024-02-07,26
20.899272581736245,23.95638015312357,50.85724076354755,-1.8992822011079054,78.26086956521739,13.943728135426838,19.480261695528597,-22.60387437438965,40.53563385009763,50.20790954589844,-28.619116973876956,2024-02-08,27
