model,total_pnl,sharpe_ratio,hit_ratio,max_drawdown,num_trades,avg_pnl_per_trade,win_loss_ratio
S1_RIDGE,1151.9916347089984,0.7137132985244907,49.814126394052046,-1371.7514879857765,142,8.112617145838017,0.9584459143502402
S1_XGB,1055.2120878568421,0.6990007465489256,43.12267657992565,-1272.8563225759826,150,7.034747252378947,1.064073809813319
S1_LGBM,599.2356649340436,0.39865896652664484,43.866171003717476,-1514.7760986765647,160,3.7452229058377724,0.9553859059472393
S3_RIDGE,471.12353148090824,0.28645785889057546,48.3271375464684,-1843.811029829351,219,2.151249002195928,1.1080756385489403
S3_XGB,410.64438600437586,0.27791954540289043,42.00743494423792,-1254.3623540791377,227,1.809006105746149,1.3431634519317248
S2_RIDGE,302.3916347089985,0.18688595698703686,48.3271375464684,-1583.0049135647341,142,2.1295185542887216,1.0871441242348898
S2_XGB,277.61208785684266,0.18414676266935284,42.37918215613383,-1431.2563225759827,150,1.850747252378951,1.2958752458764495
S1_LSTM,113.39350979512017,0.06983426511719996,50.18587360594795,-1491.9212937514621,115,0.9860305199575666,0.9141571935670619
S2_LGBM,-228.7643350659564,-0.15238023312814514,42.00743494423792,-1783.5394798526468,160,-1.4297770941622274,1.2575611755942484
S3_LSTM,-311.9194312496462,-0.19356827679520602,49.07063197026022,-1421.3317490011625,176,-1.7722694957366263,0.9967545365628416
S3_LGBM,-441.93234705771727,-0.3224678886001386,42.00743494423792,-1684.7770513984556,234,-1.8885997737509286,1.2169055011202388
S2_LSTM,-592.2064902048799,-0.3642159907010198,49.07063197026022,-1592.7212937514619,115,-5.149621653955477,0.9703992529568575
