mae,rmse,mape,r2,model,period,test_start,test_end,month,season
25.579690350531664,28.93060224358578,2083.275142112948,-0.7672388475107152,XGBoost,1,2024-03-26,2024-06-03,3.0,Spring
28.416048765810903,32.369445204390054,1882.3460562964417,-1.2123346054866078,LightGBM,1,2024-03-26,2024-06-03,3.0,Spring
10.591980996170554,13.702669313921906,252.98657760215409,0.603547961781412,Ridge,1,2024-03-26,2024-06-03,3.0,Spring
13.541716331237868,16.06530032981037,492.798011828956,0.4550483165990309,Lasso,1,2024-03-26,2024-06-03,3.0,Spring
25.033940102031384,27.96342466210616,2220.7894073400385,-0.6510530091642384,Persistence,1,2024-03-26,2024-06-03,3.0,Spring
11.155476360984572,13.923440945709144,36.82233437624182,0.6091945054482766,XGBoost,2,2024-06-04,2024-08-12,6.0,Summer
12.52482500405975,15.178556837383013,43.06027161549256,0.5355612268214658,LightGBM,2,2024-06-04,2024-08-12,6.0,Summer
11.355277919667778,14.777675300379771,33.15599833705798,0.5597698867088714,Ridge,2,2024-06-04,2024-08-12,6.0,Summer
11.356415442948418,13.906120011899258,40.796397487545384,0.6101662344479847,Lasso,2,2024-06-04,2024-08-12,6.0,Summer
18.906401047968593,23.700652240553087,72.40705232139383,-0.1323693418610168,Persistence,2,2024-06-04,2024-08-12,6.0,Summer
16.44255266320578,19.784670188638334,40.67321333814683,0.33483824147924945,XGBoost,3,2024-08-13,2024-10-21,8.0,Summer
15.083373016996548,18.70228653252136,35.00314965758284,0.4056270235367987,LightGBM,3,2024-08-13,2024-10-21,8.0,Summer
14.297643710108582,18.22848172682885,25.421100231951765,0.435361304888806,Ridge,3,2024-08-13,2024-10-21,8.0,Summer
13.677119050192939,16.687493870844474,32.236823133579776,0.5267922144957633,Lasso,3,2024-08-13,2024-10-21,8.0,Summer
20.596905202694767,24.7474808459867,49.08835884157216,-0.040714574205705345,Persistence,3,2024-08-13,2024-10-21,8.0,Summer
16.231042177323864,20.81677730002438,24.389489317603466,0.5451662593385617,XGBoost,4,2024-10-22,2024-12-30,10.0,Fall
15.305908955958236,19.257137820280192,20.44226963416298,0.6107674430828978,LightGBM,4,2024-10-22,2024-12-30,10.0,Fall
21.018122676114448,28.641435857640644,23.86110519309479,0.13897600481645433,Ridge,4,2024-10-22,2024-12-30,10.0,Fall
12.829093531475243,16.579379285513305,16.8865207579886,0.7114891063442681,Lasso,4,2024-10-22,2024-12-30,10.0,Fall
29.568401434486844,36.5118843904371,39.12611242757731,-0.399246332345671,Persistence,4,2024-10-22,2024-12-30,10.0,Fall
26.911095471298385,30.49087184084166,1982.6331710130062,-0.9629985824252736,Ensemble (Avg),1,2024-03-26,2024-06-03,,
11.212632284329585,13.864234284556016,38.018236448681236,0.6125110840296304,Ensemble (Avg),2,2024-06-04,2024-08-12,,
15.59526717514092,18.93222289798438,37.49718918507355,0.39092207311697413,Ensemble (Avg),3,2024-08-13,2024-10-21,,
15.366017814756455,19.600896926838566,21.99973562228167,0.5967470326858959,Ensemble (Avg),4,2024-10-22,2024-12-30,,
