model,train_time_sec,inference_time_ms,mae,mape,efficiency
Lasso,0.037290096282958984,2.3835301399230957,12.851,145.679,2.08674591355534
Ridge,0.003633558750152588,1.884162425994873,14.316,83.856,19.22410472639493
XGBoost,0.3017999529838562,5.018830299377441,17.352,546.29,0.19095511375152133
LightGBM,0.1101195216178894,1.376330852508545,17.833,495.213,0.5092268262460002
