Approach,Tuning Time (s),MAE (EUR/MWh),RMSE (EUR/MWh),R²,Direction Acc (%),Bias (EUR/MWh)
GridSearch,24.969945192337036,15.621076728933035,20.998894937550432,0.5558662023173112,74.63789535914869,2.803261793824023
Bayesian Opt,16.74558973312378,15.98586801440193,21.35757516533778,0.540564204394503,73.60331067100206,4.289100481007891
Adaptive Bayesian,173.66503047943115,16.120155703644784,21.503343922124976,0.5342713617601709,72.68696423292936,3.25438602127126
