datetime,reason,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,reg_alpha,reg_lambda
2024-01-12 05:00:00,initial_tuning,354,4,0.03338846693040235,0.824789196938969,0.6235337057879241,2,0.47422610278765587,0.7447408587268705,1.4202336680835241
2024-05-03 00:00:00,periodic_retuning,250,10,0.14907884894416698,0.8394633936788146,0.6624074561769746,2,0.02904180608409973,0.8661761457749352,1.4016725176148133
