date,price,F,signal_ensemble,position,pnl_gross,pnl_net
2024-01-19,82.3,67.83903163118556,0.9479188992865479,0.0,-0.0,-0.0
2024-01-20,77.45875,65.05919437263304,-6.59809569562469,0.0,-0.0,-0.0
2024-01-21,56.88999999999999,65.15305042388168,-5.359089253102912,0.0,0.0,0.0
2024-01-22,56.61875,66.55134366906137,6.344329385416967,0.0,0.0,0.0
2024-01-23,56.57916666666667,72.6300949501409,3.4221840919228,0.0,0.0,0.0
2024-01-24,50.48208333333333,75.93299799236777,1.6170346311452484,0.0,0.0,0.0
2024-01-25,73.325,72.98159912752473,1.424597859957526,0.0,-0.0,-0.0
2024-01-26,65.915,69.73819214183042,-0.05799525646632143,0.0,-0.0,-0.0
2024-01-28,52.49416666666667,66.34407862656793,-2.530921145118309,0.0,-0.0,-0.0
2024-01-29,77.31,71.0270533932613,4.327730995374143,0.0,0.0,0.0
2024-01-30,78.12083333333334,73.41932577230831,1.243840467632204,0.0,0.0,0.0
2024-01-31,74.28,70.4549479412182,-1.062706654072757,0.0,-0.0,-0.0
2024-02-01,75.68083333333333,63.17147491150445,-0.0938199139373046,0.0,-0.0,-0.0
2024-02-02,66.13833333333334,65.96147068294309,-0.9581119303502169,0.0,0.0,0.0
2024-02-03,46.09625,65.8835705905125,-3.6604406252079014,0.0,-0.0,-0.0
2024-02-04,26.754166666666666,71.01174312868609,-0.6989347693418589,0.0,0.0,0.0
2024-02-05,54.57333333333333,66.34575393232939,8.063538893055357,0.0,-0.0,-0.0
2024-02-06,53.67583333333334,64.92439584631406,2.021293677693935,0.0,-0.0,-0.0
2024-02-07,58.88583333333333,65.24594776265624,1.0412523273498113,0.0,0.0,0.0
2024-02-08,49.51416666666666,65.81359637584124,0.16354149290193873,0.0,0.0,0.0
2024-02-10,71.84333333333333,66.75335447066306,-2.0569843346487424,-2.0,-45.10838855144698,-52.30838855144698
2024-02-11,57.63791666666666,63.726355174487125,-5.292108571585385,-2.0,145.29596621644464,145.29596621644464
2024-02-12,73.60166666666667,63.45023046439746,3.5313976925560797,-2.0,13.253986084304074,13.253986084304074
2024-02-13,70.68416666666667,64.15979665168553,-0.7099748441957362,0.0,0.0,-7.200000000000001
2024-02-14,65.05125,66.52434898523653,-0.5822484367523222,0.0,0.0,0.0
2024-02-15,56.49791666666667,69.39772077667197,-0.5231298665041281,0.0,0.0,0.0
2024-02-16,61.093333333333334,66.12113000756754,-0.08539208234071183,0.0,-0.0,-0.0
2024-02-17,62.102916666666665,60.939584175452005,-3.569115205127489,-2.0,248.71419994154587,241.51419994154588
2024-02-18,46.74166666666667,65.36927125148976,-5.336587734255178,-2.0,-212.62497964981242,-212.62497964981242
2024-02-19,61.86375,66.91332450781319,6.251598768119301,-2.0,-74.1145563035243,-74.1145563035243
2024-02-20,62.12375,65.1018792001117,0.882644979617521,0.0,-0.0,-7.200000000000001
2024-02-21,54.217083333333335,70.1494351538684,-1.5967137036728356,-1.5967137036728356,-193.42804227404957,-199.1762116072718
2024-02-23,48.00791666666667,74.5111153289727,-0.7202657881041783,-1.5967137036728356,-167.14450815905246,-167.14450815905246
2024-02-24,56.14833333333333,74.16573596780026,1.2254060452250932,-1.5967137036728356,13.235327014795612,13.235327014795612
2024-02-25,58.79791666666667,79.30319590600514,-4.096991288292721,-2.0,-246.59807703383444,-248.04990770061224
2024-02-26,65.83416666666666,84.0284624893505,1.997729772626952,-2.0,-226.81279600057724,-226.81279600057724
2024-02-27,68.64583333333333,82.47567767166,0.9842186801248672,-2.0,74.53367124914439,74.53367124914439
2024-02-28,66.71166666666666,84.32119052139721,-1.1359940790267784,0.0,0.0,-7.200000000000001
2024-02-29,63.84583333333333,84.94295864112414,-1.4210731586531278,0.0,0.0,0.0
2024-03-01,67.12625,84.64092102009391,-1.3786472299044215,0.0,-0.0,-0.0
2024-03-02,66.03333333333333,77.97234299234279,-4.707299676795489,-2.0,320.09174533205396,312.891745332054
2024-03-03,63.74375,76.91551345170039,-4.027750695042163,-2.0,50.72781795083506,50.72781795083506
2024-03-04,74.48583333333333,77.88194409682428,2.728071943506366,-2.0,-46.38867096594686,-46.38867096594686
2024-03-05,76.79458333333334,70.18225620252073,0.8300261994066934,0.0,-0.0,-7.200000000000001
2024-03-06,81.76166666666667,64.52325854960091,-0.560175920793274,0.0,-0.0,-0.0
2024-03-07,73.04958333333333,55.23530563719601,-0.9308208747328132,0.0,-0.0,-0.0
2024-03-08,65.08125,52.78091175979835,-0.8146375330156487,0.0,-0.0,-0.0
2024-03-10,54.155833333333334,57.805104733393165,-4.241099383066712,-2.0,-241.1612627325511,-248.3612627325511
2024-03-11,72.64999999999999,54.99223308332163,3.5908304269113587,-2.0,135.0178392034337,135.0178392034337
2024-03-12,71.75416666666666,56.94965292440295,0.3376153580998582,-2.0,-93.95615237190327,-93.95615237190327
2024-03-13,61.98375000000001,49.849103623857566,-0.08992984832061791,0.0,-0.0,-7.200000000000001
2024-03-14,58.03916666666667,41.86543170799276,-0.12396846021922144,0.0,-0.0,-0.0
2024-03-15,42.63916666666667,39.84439030595989,-0.25197417311140624,0.0,-0.0,-0.0
2024-03-16,52.455000000000005,38.403857048003566,0.041140834387864054,0.0,-0.0,-0.0
2024-03-17,46.70541666666667,36.14143196054282,-1.1834209176183226,0.0,-0.0,-0.0
2024-03-18,66.75083333333333,26.86474072162089,4.664886218063387,2.0,-445.2811794682525,-452.4811794682525
2024-03-19,68.71958333333333,23.576132265463546,1.1199993885198143,2.0,-157.85320589555255,-157.85320589555255
2024-03-20,59.27875,18.82929794323186,-0.003041639446664607,2.0,-227.84804746712086,-227.84804746712086
2024-03-21,52.97291666666666,19.409827419304683,1.1258090771975515,0.0,0.0,-7.200000000000001
2024-03-22,35.01166666666666,20.1522092643223,-1.0823177860231985,0.0,0.0,0.0
2024-03-23,9.309583333333334,17.48100494226495,-0.08271633474288509,0.0,-0.0,-0.0
2024-03-25,45.715833333333336,10.869358652939423,11.194041937744169,2.0,-317.3590218876252,-324.5590218876252
2024-03-26,48.35958333333334,9.068491751436389,2.798390922413257,2.0,-86.44161127214568,-86.44161127214568
2024-03-27,49.13458333333333,11.773619839058144,0.9673211374160197,2.0,129.84614820584426,129.84614820584426
2024-03-28,16.925416666666667,11.22724355596463,1.2860998391601541,0.0,-0.0,-7.200000000000001
2024-03-29,36.720416666666665,12.406176811561105,4.55871601832757,2.0,56.58879626863077,49.38879626863077
2024-03-30,51.653333333333336,9.09171649169378,-0.48519975838154655,2.0,-159.09409535363156,-159.09409535363156
2024-03-31,23.38208333333333,6.882192433365608,-5.167295892469477,2.0,-106.05715479975228,-106.05715479975228
2024-04-05,5.500416666666666,21.948922175929617,0.08532278120563956,0.0,0.0,-7.200000000000001
2024-04-10,37.7925,28.322248500406857,2.1040212559545166,2.0,305.91966357490753,298.71966357490754
2024-04-12,21.158333333333335,33.38303605263552,-3.654952078686853,2.0,242.9178025069757,242.9178025069757
2024-04-13,0.03458333333333374,33.50889485244355,-1.3888752677792915,2.0,6.041222390785379,6.041222390785379
2024-04-14,2.682916666666667,33.38347139687673,-0.2728656619099143,0.0,-0.0,-7.200000000000001
2024-04-17,45.145,27.50444873203974,4.168954392550868,0.0,-0.0,-0.0
2024-04-18,54.48708333333334,30.80052577805002,-2.070100610350417,0.0,0.0,0.0
2024-04-21,19.168333333333333,37.00646038953612,-7.086660249824562,0.0,0.0,0.0
2024-04-22,62.31041666666667,36.76517400015143,2.009549951959815,0.0,-0.0,-0.0
2024-04-23,82.75833333333334,42.98203586939465,-0.45798853389627975,0.0,0.0,0.0
2024-04-24,68.75208333333333,43.980711134032845,-0.9152601001847612,0.0,0.0,0.0
2024-04-25,78.73375,41.114636201313495,0.5648251029901242,0.0,-0.0,-0.0
2024-04-26,80.92083333333333,36.28463217184255,-1.120832318825981,0.0,-0.0,-0.0
2024-04-28,13.601666666666667,31.513512197199525,-8.951096730031264,0.0,-0.0,-0.0
2024-04-29,61.58416666666667,27.285060904532543,9.253137715866709,0.0,-0.0,-0.0
2024-04-30,56.32791666666666,21.835546368517583,1.2825319953912626,0.0,-0.0,-0.0
2024-05-02,18.4975,19.67895675332616,-4.669437285163345,0.0,-0.0,-0.0
2024-05-03,26.779583333333335,27.53186658068692,2.315325523480439,0.0,0.0,0.0
2024-05-04,30.67125,30.778630951525315,-0.8302244123449997,0.0,0.0,0.0
2024-05-05,31.597916666666666,30.075040747716617,-2.357282198303001,0.0,-0.0,-0.0
2024-05-06,69.33541666666666,32.778121732752936,2.256155375076492,0.0,0.0,0.0
2024-05-07,59.21625,30.70108301549985,-1.4971936376340393,0.0,-0.0,-0.0
2024-05-08,22.6525,28.53708422302334,-1.5572666713522378,0.0,-0.0,-0.0
