model,ml_r2,ml_mape,total_return,annual_return,sharpe_ratio,max_drawdown,win_rate,num_trades,profit_factor
random_forest,0.6411833313086917,29.66296360257167,0.2750865851669252,0.5487146908691187,2.2151469720556434,-0.04223420404463243,0.6129032258064516,31,2.346540570671661
xgboost,0.6856746136735707,30.06445112939896,0.24303354549806797,0.4793438419705649,1.9481607912835897,-0.04284098608681606,0.5757575757575758,33,1.9035994590583158
lightgbm,0.677832514298171,28.2633201370861,0.19686268718628722,0.3819100972081044,1.5899640921517788,-0.07337000181194456,0.5517241379310345,29,1.7337144818261714
ridge,0.43673870081904753,25.98674193360173,0.07552516196918936,0.14003198279463436,1.002472938396104,-0.0767287049247204,0.6333333333333333,30,1.336361016804448
