entry_date,exit_date,direction,entry_price,exit_price,volume_mwh,pnl,days_held,exit_reason
2024-08-13,2024-08-14,short,82.01916666666666,84.56125,60.96136065756988,-165.12382776383595,1,forecast_converged
2024-08-15,2024-08-19,long,44.60434782608696,86.56,99.83487617223616,4175.54256308459,4,forecast_converged
2024-08-20,2024-08-24,long,52.58833333333333,23.427916666666665,98.89115336290125,-2891.224571346258,4,stop_loss
2024-08-26,2024-08-27,short,72.05958333333334,69.58874999999999,70.16359898739434,163.42400230745494,1,forecast_converged
2024-08-28,2024-08-31,short,89.62583333333333,68.08541666666666,56.5030273077602,1208.187588071709,3,forecast_converged
2024-09-03,2024-09-04,short,104.7375,104.35125,48.92746425795616,8.668050727270032,1,forecast_converged
2024-09-05,2024-09-08,long,83.46708333333333,35.62347826086957,61.40113546063424,-2944.963971683964,3,stop_loss
2024-09-08,2024-09-12,long,35.62347826086957,68.63125000000001,99.55450983339696,3275.693507811959,4,forecast_converged
2024-09-15,2024-09-22,long,27.0525,44.075,102.83020334120893,1743.1130810875777,7,max_holding
2024-09-23,2024-09-26,long,55.97083333333333,26.91125,93.41768756551464,-2722.421729182982,3,stop_loss
2024-09-26,2024-10-03,long,26.91125,60.46434782608696,101.85089469311352,3408.513750499586,7,max_holding
2024-10-03,2024-10-05,long,60.46434782608696,60.05416666666667,87.04254013155798,-46.19344766438084,2,forecast_converged
2024-10-06,2024-10-13,long,27.6145,21.67875,105.21321499594872,-629.7056422223014,7,max_holding
2024-10-13,2024-10-18,long,21.67875,66.58375,104.58350935372641,4687.0916855347505,5,forecast_converged
2024-10-19,2024-10-20,long,37.62625,10.854583333333332,109.27060103926117,-2930.653637286638,1,stop_loss
2024-10-20,2024-10-27,long,10.854583333333332,73.58916666666666,106.33994740197451,6662.2125480180275,7,max_holding
2024-10-28,2024-11-01,long,81.70416666666667,81.16041666666666,69.15324184812641,-48.86468917466327,4,forecast_converged
2024-11-02,2024-11-03,short,90.91260869565215,79.11625,62.1219085456844,722.2497988533739,1,forecast_converged
2024-11-05,2024-11-07,short,115.45083333333334,109.46291666666669,49.231149649419855,283.71925902045894,2,forecast_converged
2024-11-09,2024-11-10,short,111.59166666666664,106.04333333333334,51.0608308499851,272.1898859106293,1,forecast_converged
2024-11-11,2024-11-14,long,99.89125,125.3286956521739,57.17790807733528,1441.5823238725293,3,forecast_converged
2024-11-19,2024-11-21,long,88.70833333333333,113.93708333333336,65.19851753601216,1631.6649185345348,2,forecast_converged
2024-11-23,2024-11-24,long,66.27374999999999,11.541428571428572,88.5001236892506,-4850.703869156864,1,stop_loss
2024-11-24,2024-11-25,long,11.541428571428572,73.03652173913044,112.45399757785256,6905.8579295112,1,forecast_converged
2024-11-26,2024-12-02,short,114.01208333333334,108.06958333333334,52.34526552698599,299.4368165837717,6,forecast_converged
2024-12-03,2024-12-04,short,143.1579166666667,144.2775,41.79276113753664,-58.8031985347844,1,forecast_converged
2024-12-05,2024-12-07,long,104.59166666666664,39.937916666666666,57.174960939564706,-3704.839104128075,2,stop_loss
2024-12-07,2024-12-14,long,39.937916666666666,108.20458333333332,115.89565002128465,7894.640636786419,7,max_holding
2024-12-14,2024-12-16,long,108.20458333333332,78.165,57.20196263624282,-1728.983829384,2,forecast_converged
2024-12-17,2024-12-19,short,93.7425,60.26541666666666,65.10457200772706,2169.4845629832953,2,forecast_converged
2024-12-20,2024-12-22,short,79.47458333333333,25.04083333333333,78.15756068240081,4246.240448775263,2,forecast_converged
2024-12-23,2024-12-24,short,68.42208333333333,102.70875,93.8856474265343,-3235.092627179915,1,stop_loss
