datetime,market_price,forecast_price,forecast_error,equity
2024-08-13,82.01916666666666,49.33342826250009,-32.68573840416657,100000.0
2024-08-14,84.56125,62.38247564614721,-22.178774353852788,100000.0
2024-08-15,44.60434782608696,62.73975348741078,18.135405661323823,100000.0
2024-08-16,77.575,45.15795701168827,-32.417042988311735,100000.0
2024-08-17,73.81625,54.05088445456204,-19.76536554543796,100000.0
2024-08-18,51.642500000000005,38.36611768092553,-13.276382319074479,100000.0
2024-08-19,86.56,65.76444379000895,-20.795556209991048,100000.0
2024-08-20,52.58833333333333,77.58150273721549,24.993169403882156,101785.93778893145
2024-08-21,40.18375,56.22499804889958,16.041248048899575,101785.93778893145
2024-08-22,38.18958333333333,49.61617047078471,11.426587137451378,101785.93778893145
2024-08-23,37.86875,30.813478517113253,-7.055271482886745,101785.93778893145
2024-08-24,23.427916666666665,10.059527815144975,-13.36838885152169,98956.54811882772
2024-08-25,23.025,21.357026075958856,-1.6679739240411422,98991.8225410572
2024-08-26,72.05958333333334,50.640942877100315,-21.41864045623302,98991.8225410572
2024-08-27,69.58874999999999,67.68744743042771,-1.9013025695722803,99151.80838715815
2024-08-28,89.62583333333333,50.948370209320274,-38.67746312401306,99151.80838715815
2024-08-29,99.32125,70.94642829577788,-28.37482170422213,99151.80838715815
2024-08-30,95.24208333333333,72.75559176775278,-22.48649156558055,99151.80838715815
2024-08-31,68.08541666666666,55.51819821468234,-12.567218451984317,99151.80838715815
2024-09-01,61.87125,35.79292198634357,-26.07832801365643,99151.80838715815
2024-09-02,105.09333333333336,70.85875586227485,-34.234577471058515,99151.80838715815
2024-09-03,104.7375,90.17788455312257,-14.55961544687743,99151.80838715815
2024-09-04,104.35125,93.75879823880678,-10.592451761193217,98326.5525343892
2024-09-05,83.46708333333333,98.472448470573,15.005365137239664,98326.5525343892
2024-09-06,81.19625,75.39862701109814,-5.797622988901864,98326.5525343892
2024-09-07,59.736250000000005,57.376372140744934,-2.3598778592550715,100420.77995530308
2024-09-08,35.62347826086957,42.853755521340645,7.230277260471077,100420.77995530308
2024-09-09,58.13791666666666,43.914830268935475,-14.223086397731187,100420.77995530308
2024-09-10,39.34,54.729394211077306,15.389394211077303,100420.77995530308
2024-09-11,64.33863636363637,44.41603833607223,-19.922598027564135,100420.77995530308
2024-09-12,68.63125000000001,58.883231426923885,-9.748018573076124,100420.77995530308
2024-09-13,57.32375,59.817175883326854,2.493425883326857,100481.12310576455
2024-09-14,47.7375,47.33435034361901,-0.40314965638098954,100481.12310576455
2024-09-15,27.0525,41.418774554702395,14.366274554702397,100481.12310576455
2024-09-16,40.63869565217392,48.87863980887778,8.239944156703856,100481.12310576455
2024-09-17,31.07631578947369,39.44685733926599,8.3705415497923,100481.12310576455
2024-09-18,48.53458333333333,34.11456162027025,-14.420021713063079,100481.12310576455
2024-09-19,53.31208333333333,47.6131462961348,-5.698937037198526,100481.12310576455
2024-09-20,57.02291666666667,52.70822462810611,-4.314692038560558,103484.1362400867
2024-09-21,35.09166666666667,33.55064477794076,-1.5410218887259077,103484.1362400867
