entry_date,exit_date,direction,entry_price,exit_price,volume_mwh,pnl,days_held,exit_reason
2024-08-13,2024-08-20,short,82.01916666666666,52.58833333333333,60.96136065756988,1785.9377889314487,7,max_holding
2024-08-20,2024-08-24,long,52.58833333333333,23.427916666666665,96.77615864317004,-2829.3896701037315,4,stop_loss
2024-08-24,2024-08-25,short,23.427916666666665,23.025,98.95654811882773,35.27442222949273,1,forecast_converged
2024-08-26,2024-08-27,short,72.05958333333334,69.58874999999999,68.68747914010318,159.98584610094207,1,forecast_converged
2024-08-28,2024-09-04,short,89.62583333333333,104.35125,55.31430208207725,-825.2558527689549,7,max_holding
2024-09-04,2024-09-07,short,104.35125,59.736250000000005,47.113260518867385,2094.227420913878,3,forecast_converged
2024-09-09,2024-09-13,short,58.13791666666666,57.32375,86.36427456720277,60.34315046147728,4,forecast_converged
2024-09-15,2024-09-20,long,27.0525,57.02291666666667,100.48112310576455,3003.013134322139,5,forecast_converged
2024-09-25,2024-09-27,long,39.43375,15.239583333333334,103.4841362400867,-2509.370262224064,2,stop_loss
2024-09-28,2024-09-29,short,33.711739130434786,19.50208333333333,100.97476597786263,1429.443415468232,1,forecast_converged
2024-09-30,2024-10-05,long,15.12421052631579,60.05416666666667,102.40420939333087,4593.318054349743,5,forecast_converged
2024-10-08,2024-10-09,long,31.33125,34.31652173913044,106.99752744768061,312.3925455878574,1,forecast_converged
2024-10-10,2024-10-12,short,61.70904761904761,45.11521739130435,86.94828727201532,1433.5169307031306,2,forecast_converged
2024-10-14,2024-10-15,short,92.00291666666668,66.34541666666667,59.097820408214375,1506.9442857584877,1,forecast_converged
2024-10-16,2024-10-19,long,30.389166666666668,37.62625,110.25038120973011,790.3924707309454,3,forecast_converged
2024-10-21,2024-10-24,short,76.77826086956522,64.39458333333333,72.31263929584361,885.2878258723651,3,forecast_converged
2024-10-27,2024-10-28,short,73.58916666666666,81.70416666666667,76.0479202144791,-628.9386075636725,1,forecast_converged
2024-10-31,2024-11-01,short,97.29125,81.16041666666666,57.19790983195803,912.4428881749808,1,forecast_converged
2024-11-02,2024-11-09,short,90.91260869565215,111.59166666666664,61.71287316294505,-1288.6612023547937,7,max_holding
2024-11-09,2024-11-16,short,111.59166666666664,106.55833333333334,49.69945691192142,239.31199659800066,7,max_holding
2024-11-16,2024-11-19,short,106.55833333333334,88.70833333333333,52.159325837735786,920.8589885116689,3,forecast_converged
2024-11-20,2024-11-24,short,112.09833333333334,11.541428571428572,49.99230239954486,5020.890154853626,4,forecast_converged
2024-11-25,2024-11-26,short,73.03652173913044,114.01208333333334,80.16671860607927,-3299.8713889370365,1,stop_loss
2024-11-26,2024-12-03,short,114.01208333333334,143.1579166666667,49.907909323477924,-1467.4424241979202,7,max_holding
2024-12-03,2024-12-07,short,143.1579166666667,39.937916666666666,39.23452315004755,4042.6038018363156,4,forecast_converged
2024-12-08,2024-12-09,short,38.71041666666667,90.39125,116.37725571325458,-6029.498053982098,1,stop_loss
2024-12-09,2024-12-10,short,90.39125,126.7225,61.0389598878611,-2230.8741089032064,1,stop_loss
2024-12-10,2024-12-14,short,126.7225,108.20458333333332,42.65891359086558,779.9324728181126,4,forecast_converged
2024-12-17,2024-12-24,short,93.7425,102.70875,58.08294851491446,-532.1967049612916,7,max_holding
