datetime,forecast_error,equity
2024-08-13,-20.434011179606117,100000.0
2024-08-14,-2.94869354248047,99834.87617223617
2024-08-15,33.803069471276324,99834.87617223617
2024-08-16,-29.510894012451175,99834.87617223617
2024-08-17,-27.875602874755856,99834.87617223617
2024-08-18,-11.865541534423834,99834.87617223617
2024-08-19,2.500035705566404,104010.41873532075
2024-08-20,34.094383036295575,104010.41873532075
2024-08-21,35.26243988037109,104010.41873532075
2024-08-22,24.742522684733075,104010.41873532075
2024-08-23,13.44279251098633,104010.41873532075
2024-08-24,5.9047020467122415,101119.19416397449
2024-08-25,3.8533283233642592,101119.19416397449
2024-08-26,-25.123853352864586,101119.19416397449
2024-08-27,-1.3800479125976466,101282.61816628194
2024-08-28,-20.038278401692708,101282.61816628194
2024-08-29,-10.715247192382819,101282.61816628194
2024-08-30,-15.850603841145826,101282.61816628194
2024-08-31,0.6864415486653712,102490.80575435366
2024-09-01,-7.272128906250003,102490.80575435366
2024-09-02,6.798642069498669,102490.80575435366
2024-09-03,-14.013340759277341,102490.80575435366
2024-09-04,-0.36236602783202443,102499.47380508092
2024-09-05,19.930301310221353,102499.47380508092
2024-09-06,21.713593444824212,102499.47380508092
2024-09-07,15.019487304687495,102499.47380508092
2024-09-08,12.046065959101135,99554.50983339697
2024-09-09,12.630271809895838,99554.50983339697
2024-09-10,23.730434570312497,99554.50983339697
2024-09-11,-10.6477260242809,99554.50983339697
2024-09-12,-0.9653335571289148,102830.20334120892
2024-09-13,5.015124816894534,102830.20334120892
2024-09-14,-9.998345184326169,102830.20334120892
2024-09-15,13.687162170410158,102830.20334120892
2024-09-16,17.14216143400772,102830.20334120892
2024-09-17,22.167210669266545,102830.20334120892
2024-09-18,-5.102282765706377,102830.20334120892
2024-09-19,14.620343119303392,102830.20334120892
2024-09-20,6.1015683492024735,102830.20334120892
2024-09-21,5.349594624837238,102830.20334120892
2024-09-22,-9.023642730712893,104573.3164222965
2024-09-23,16.15990397135417,104573.3164222965
2024-09-24,10.413753560384116,104573.3164222965
2024-09-25,26.42717376708984,104573.3164222965
2024-09-26,33.13494216918946,101850.89469311351
2024-09-27,16.743927637736,101850.89469311351
2024-09-28,-8.955381937441622,101850.89469311351
2024-09-29,7.659940210978192,101850.89469311351
2024-09-30,32.43793852153577,101850.89469311351
2024-10-01,-23.323922170003257,101850.89469311351
2024-10-02,-12.581196187337241,101850.89469311351
2024-10-03,12.352981580651324,105259.4084436131
2024-10-04,-27.406721635901405,105259.4084436131
2024-10-05,2.9445782979329422,105213.21499594871
2024-10-06,18.284135864257813,105213.21499594871
2024-10-07,8.139786936442057,105213.21499594871
2024-10-08,30.286185455322265,105213.21499594871
2024-10-09,17.507643605107845,105213.21499594871
2024-10-10,-28.776068035307375,105213.21499594871
2024-10-11,-21.312498067220062,105213.21499594871
2024-10-12,28.475313004203464,105213.21499594871
2024-10-13,21.654032745361327,104583.50935372642
2024-10-14,-44.66767725626629,104583.50935372642
2024-10-15,22.67322194417318,104583.50935372642
2024-10-16,36.1431743367513,104583.50935372642
2024-10-17,-17.59766591389974,104583.50935372642
2024-10-18,-1.7538778686523386,109270.60103926116
2024-10-19,11.536126403808595,109270.60103926116
2024-10-20,15.379181315104168,106339.94740197452
2024-10-21,-29.786012334408966,106339.94740197452
2024-10-22,-6.278691609700516,106339.94740197452
2024-10-23,13.735265299479167,106339.94740197452
2024-10-24,26.800629984537764,106339.94740197452
2024-10-25,17.77138427734375,106339.94740197452
2024-10-26,5.061700439453126,106339.94740197452
2024-10-27,-7.960855509440094,113002.15994999255
2024-10-28,17.438228352864584,113002.15994999255
2024-10-29,12.437382812500005,113002.15994999255
2024-10-30,17.48593831380208,113002.15994999255
2024-10-31,-7.883374938964849,113002.15994999255
2024-11-01,-3.189438883463538,112953.29526081789
2024-11-02,-23.303302360202935,112953.29526081789
2024-11-03,-3.7768029785156187,113675.54505967126
2024-11-04,8.241447245279957,113675.54505967126
2024-11-05,-13.714695943196617,113675.54505967126
2024-11-06,-8.605424194335939,113675.54505967126
2024-11-07,-2.8039582316080924,113959.26431869173
2024-11-08,-4.8058687337239405,113959.26431869173
2024-11-09,-12.636451212565078,113959.26431869173
2024-11-10,-1.4214232381184928,114231.45420460236
2024-11-11,14.394096984863282,114231.45420460236
2024-11-12,7.353959960937502,114231.45420460236
2024-11-13,-10.324021606445328,114231.45420460236
2024-11-14,-0.5166534158457807,115673.03652847488
2024-11-15,-5.8966360473632875,115673.03652847488
2024-11-16,9.432236735026038,115673.03652847488
2024-11-17,7.015942382812497,115673.03652847488
