datetime,forecast_error,equity
2024-08-13,-25.81492063381603,100000.0
2024-08-14,-1.9854934895509189,99834.87617223617
2024-08-15,40.80258353804452,99834.87617223617
2024-08-16,-30.168585236639935,99834.87617223617
2024-08-17,-28.382594151517765,99834.87617223617
2024-08-18,-5.6901711418155045,99834.87617223617
2024-08-19,-7.2404701446269115,99834.87617223617
2024-08-20,43.85650972384472,99834.87617223617
2024-08-21,24.015189560494775,99834.87617223617
2024-08-22,17.903198046164327,99186.19323156294
2024-08-23,7.786217327609087,99186.19323156294
2024-08-24,0.8218281937778471,97715.92810388157
2024-08-25,-0.83575693597464,97715.92810388157
2024-08-26,-30.377968643998017,97715.92810388157
2024-08-27,-5.338818932397146,97715.92810388157
2024-08-28,-22.853530722706807,97715.92810388157
2024-08-29,-12.646788337629644,97715.92810388157
2024-08-30,-7.69047214402876,97715.92810388157
2024-08-31,5.972676583053882,97715.92810388157
2024-09-01,-4.839881838066276,98397.63845132609
2024-09-02,-18.28641511877936,98397.63845132609
2024-09-03,-18.00093208188146,98397.63845132609
2024-09-04,-14.038597221110948,98397.63845132609
2024-09-05,7.682008438221956,98397.63845132609
2024-09-06,13.736304775244022,98397.63845132609
2024-09-07,1.2817935198878843,100513.28694407527
2024-09-08,16.235392841799367,100513.28694407527
2024-09-09,7.427089133689385,100513.28694407527
2024-09-10,24.1152223639235,100513.28694407527
2024-09-11,-4.979676583586581,103389.49434939236
2024-09-12,-5.357990460307526,103389.49434939236
2024-09-13,8.215085511758907,103389.49434939236
2024-09-14,0.1510131973054314,103389.49434939236
2024-09-15,17.5381082715091,103389.49434939236
2024-09-16,1.7753474153596827,104787.16568951216
2024-09-17,12.481092819628905,104787.16568951216
2024-09-18,-12.10252135699605,104787.16568951216
2024-09-19,7.599348938872431,104787.16568951216
2024-09-20,2.8986751771537698,107496.80478584171
2024-09-21,5.070475972226632,107496.80478584171
2024-09-22,-20.613773703265046,107496.80478584171
2024-09-23,6.273962214646744,107496.80478584171
2024-09-24,2.117646249975813,106458.72148954477
2024-09-25,20.374161101991362,106458.72148954477
2024-09-26,20.992894411914765,106458.72148954477
2024-09-27,7.010479675622152,103877.22098554023
2024-09-28,-15.305689105025913,103877.22098554023
2024-09-29,4.5871207384948995,105347.75283690865
2024-09-30,16.87008548766633,105347.75283690865
2024-10-01,-39.63160355720919,105347.75283690865
2024-10-02,-15.518162409988847,105347.75283690865
2024-10-03,19.320361058355978,105347.75283690865
2024-10-04,-32.09207060574056,105347.75283690865
2024-10-05,18.381771567119138,105347.75283690865
2024-10-06,19.03998733448973,105347.75283690865
2024-10-07,5.02566854459711,109612.71120701559
2024-10-08,26.958255822057136,109612.71120701559
2024-10-09,22.066822773322123,109612.71120701559
2024-10-10,-31.922286238765253,109612.71120701559
