datetime,market_price,forecast_price,forecast_error,equity
2024-08-13,82.01916666666666,61.585155,-20.434011179606117,100000.0
2024-08-14,84.56125,81.61256,-2.94869354248047,99834.87617223617
2024-08-15,44.60434782608696,78.40742,33.803069471276324,99834.87617223617
2024-08-16,77.575,48.064106,-29.510894012451175,99834.87617223617
2024-08-17,73.81625,45.940647,-27.875602874755856,99834.87617223617
2024-08-18,51.642500000000005,39.77696,-11.865541534423834,99834.87617223617
2024-08-19,86.56,89.060036,2.500035705566404,104010.41873532075
2024-08-20,52.58833333333333,86.68272,34.094383036295575,104010.41873532075
2024-08-21,40.18375,75.44619,35.26243988037109,104010.41873532075
2024-08-22,38.18958333333333,62.932106,24.742522684733075,104010.41873532075
2024-08-23,37.86875,51.311543,13.44279251098633,104010.41873532075
2024-08-24,23.427916666666665,29.332619,5.9047020467122415,101119.19416397449
2024-08-25,23.025,26.878328,3.8533283233642592,101119.19416397449
2024-08-26,72.05958333333334,46.93573,-25.123853352864586,101119.19416397449
2024-08-27,69.58874999999999,68.2087,-1.3800479125976466,101282.61816628194
2024-08-28,89.62583333333333,69.587555,-20.038278401692708,101282.61816628194
2024-08-29,99.32125,88.606,-10.715247192382819,101282.61816628194
2024-08-30,95.24208333333333,79.39148,-15.850603841145826,101282.61816628194
2024-08-31,68.08541666666666,68.77186,0.6864415486653712,102490.80575435366
2024-09-01,61.87125,54.59912,-7.272128906250003,102490.80575435366
2024-09-02,105.09333333333336,111.891975,6.798642069498669,102490.80575435366
2024-09-03,104.7375,90.72416,-14.013340759277341,102490.80575435366
2024-09-04,104.35125,103.988884,-0.36236602783202443,102499.47380508092
2024-09-05,83.46708333333333,103.397385,19.930301310221353,102499.47380508092
2024-09-06,81.19625,102.90984,21.713593444824212,102499.47380508092
2024-09-07,59.736250000000005,74.75574,15.019487304687495,102499.47380508092
2024-09-08,35.62347826086957,47.669544,12.046065959101135,99554.50983339697
2024-09-09,58.13791666666666,70.76819,12.630271809895838,99554.50983339697
2024-09-10,39.34,63.070435,23.730434570312497,99554.50983339697
2024-09-11,64.33863636363637,53.69091,-10.6477260242809,99554.50983339697
2024-09-12,68.63125000000001,67.66592,-0.9653335571289148,102830.20334120892
2024-09-13,57.32375,62.338875,5.015124816894534,102830.20334120892
2024-09-14,47.7375,37.739155,-9.998345184326169,102830.20334120892
2024-09-15,27.0525,40.739662,13.687162170410158,102830.20334120892
2024-09-16,40.63869565217392,57.780857,17.14216143400772,102830.20334120892
2024-09-17,31.07631578947369,53.243526,22.167210669266545,102830.20334120892
2024-09-18,48.53458333333333,43.4323,-5.102282765706377,102830.20334120892
2024-09-19,53.31208333333333,67.93243,14.620343119303392,102830.20334120892
2024-09-20,57.02291666666667,63.124485,6.1015683492024735,102830.20334120892
2024-09-21,35.09166666666667,40.44126,5.349594624837238,102830.20334120892
2024-09-22,44.075,35.051357,-9.023642730712893,104573.3164222965
2024-09-23,55.97083333333333,72.13074,16.15990397135417,104573.3164222965
2024-09-24,53.634166666666665,64.04792,10.413753560384116,104573.3164222965
2024-09-25,39.43375,65.86092,26.42717376708984,104573.3164222965
2024-09-26,26.91125,60.046192,33.13494216918946,101850.89469311351
2024-09-27,15.239583333333334,31.983511,16.743927637736,101850.89469311351
2024-09-28,33.711739130434786,24.756357,-8.955381937441622,101850.89469311351
2024-09-29,19.50208333333333,27.162024,7.659940210978192,101850.89469311351
2024-09-30,15.12421052631579,47.56215,32.43793852153577,101850.89469311351
2024-10-01,68.91958333333334,45.59566,-23.323922170003257,101850.89469311351
2024-10-02,88.09208333333333,75.51089,-12.581196187337241,101850.89469311351
2024-10-03,60.46434782608696,72.81733,12.352981580651324,105259.4084436131
2024-10-04,89.27434782608695,61.867626,-27.406721635901405,105259.4084436131
2024-10-05,60.05416666666667,62.998745,2.9445782979329422,105213.21499594871
2024-10-06,27.6145,45.898636,18.284135864257813,105213.21499594871
2024-10-07,55.67958333333333,63.81937,8.139786936442057,105213.21499594871
2024-10-08,31.33125,61.617435,30.286185455322265,105213.21499594871
2024-10-09,34.31652173913044,51.824165,17.507643605107845,105213.21499594871
2024-10-10,61.70904761904761,32.93298,-28.776068035307375,105213.21499594871
2024-10-11,86.03583333333334,64.723335,-21.312498067220062,105213.21499594871
2024-10-12,45.11521739130435,73.59053,28.475313004203464,105213.21499594871
2024-10-13,21.67875,43.332783,21.654032745361327,104583.50935372642
2024-10-14,92.00291666666668,47.33524,-44.66767725626629,104583.50935372642
2024-10-15,66.34541666666667,89.01864,22.67322194417318,104583.50935372642
2024-10-16,30.389166666666668,66.53234,36.1431743367513,104583.50935372642
2024-10-17,62.22708333333333,44.629417,-17.59766591389974,104583.50935372642
2024-10-18,66.58375,64.82987,-1.7538778686523386,109270.60103926116
2024-10-19,37.62625,49.162376,11.536126403808595,109270.60103926116
2024-10-20,10.854583333333332,26.233765,15.379181315104168,106339.94740197452
2024-10-21,76.77826086956522,46.99225,-29.786012334408966,106339.94740197452
2024-10-22,86.86458333333333,80.58589,-6.278691609700516,106339.94740197452
2024-10-23,83.32833333333333,97.0636,13.735265299479167,106339.94740197452
2024-10-24,64.39458333333333,91.19521,26.800629984537764,106339.94740197452
2024-10-25,60.42875,78.200134,17.77138427734375,106339.94740197452
2024-10-26,59.18125,64.24295,5.061700439453126,106339.94740197452
2024-10-27,73.58916666666666,65.62831,-7.960855509440094,113002.15994999255
2024-10-28,81.70416666666667,99.142395,17.438228352864584,113002.15994999255
2024-10-29,86.5675,99.00488,12.437382812500005,113002.15994999255
2024-10-30,79.65291666666667,97.138855,17.48593831380208,113002.15994999255
2024-10-31,97.29125,89.407875,-7.883374938964849,113002.15994999255
2024-11-01,81.16041666666666,77.97098,-3.189438883463538,112953.29526081789
2024-11-02,90.91260869565215,67.60931,-23.303302360202935,112953.29526081789
2024-11-03,79.11625,75.33945,-3.7768029785156187,113675.54505967126
2024-11-04,108.27583333333332,116.51728,8.241447245279957,113675.54505967126
2024-11-05,115.45083333333334,101.73614,-13.714695943196617,113675.54505967126
2024-11-06,116.31125,107.705826,-8.605424194335939,113675.54505967126
2024-11-07,109.46291666666669,106.65896,-2.8039582316080924,113959.26431869173
2024-11-08,112.33208333333332,107.526215,-4.8058687337239405,113959.26431869173
2024-11-09,111.59166666666664,98.955215,-12.636451212565078,113959.26431869173
2024-11-10,106.04333333333334,104.62191,-1.4214232381184928,114231.45420460236
2024-11-11,99.89125,114.28535,14.394096984863282,114231.45420460236
2024-11-12,103.36125,110.71521,7.353959960937502,114231.45420460236
2024-11-13,123.53000000000002,113.20598,-10.324021606445328,114231.45420460236
2024-11-14,125.3286956521739,124.81204,-0.5166534158457807,115673.03652847488
2024-11-15,123.915,118.018364,-5.8966360473632875,115673.03652847488
2024-11-16,106.55833333333334,115.99057,9.432236735026038,115673.03652847488
2024-11-17,90.10625,97.12219,7.015942382812497,115673.03652847488
2024-11-18,113.18916666666668,106.44407,-6.745097757975273,115673.03652847488
2024-11-19,88.70833333333333,103.62953,14.921198527018234,115673.03652847488
2024-11-20,112.09833333333334,96.47239,-15.625944112141937,115673.03652847488
2024-11-21,113.93708333333336,112.852806,-1.0842772420247684,117304.70144700941
2024-11-22,111.1475,115.323166,4.175665893554694,117304.70144700941
2024-11-23,66.27374999999999,103.96331,37.689560241699226,117304.70144700941
2024-11-24,11.541428571428572,41.711514,30.170084947858538,112453.99757785255
2024-11-25,73.03652173913044,70.158134,-2.878387278681217,119359.85550736375
2024-11-26,114.01208333333334,85.767365,-28.24471883138021,119359.85550736375
2024-11-27,81.16041666666666,102.38933,21.228911336263025,119359.85550736375
2024-11-28,111.67625,97.453835,-14.22241546630859,119359.85550736375
2024-11-29,113.82791666666668,126.95161,13.1236900838216,119359.85550736375
2024-11-30,105.37791666666668,111.170265,5.792348531087228,119359.85550736375
2024-12-01,90.55958333333332,97.6452,7.085619303385428,119359.85550736375
2024-12-02,108.06958333333334,103.91989,-4.149691975911466,119659.29232394752
2024-12-03,143.1579166666667,107.858345,-35.29957163492841,119659.29232394752
2024-12-04,144.2775,144.54207,0.2645684814453091,119600.48912541273
2024-12-05,104.59166666666664,133.8333,29.241631062825547,119600.48912541273
2024-12-06,89.39999999999999,97.59887,8.198869323730477,119600.48912541273
2024-12-07,39.937916666666666,86.265396,46.327479451497396,115895.65002128466
2024-12-08,38.71041666666667,53.81755,15.10713399251302,115895.65002128466
2024-12-09,90.39125,70.15309,-20.238158569335937,115895.65002128466
2024-12-10,126.7225,99.12649,-27.596012268066403,115895.65002128466
2024-12-11,164.63,112.642715,-51.98728454589843,115895.65002128466
2024-12-12,174.27608695652174,144.159,-30.117090374490488,115895.65002128466
2024-12-13,176.13833333333332,142.70245,-33.43587972005207,115895.65002128466
2024-12-14,108.20458333333332,127.00157,18.79698832194012,123790.29065807108
2024-12-15,70.43875,90.71969,20.280938415527345,123790.29065807108
2024-12-16,78.165,77.97727,-0.1877279663086,122061.30682868708
2024-12-17,93.7425,80.377075,-13.365424804687507,122061.30682868708
2024-12-18,56.77125,89.85742,33.086171875,122061.30682868708
2024-12-19,60.26541666666666,63.531593,3.2661766560872465,124230.79139167038
2024-12-20,79.47458333333333,62.28597,-17.18861455281575,124230.79139167038
2024-12-21,31.3625,50.610264,19.24776382446289,124230.79139167038
2024-12-22,25.04083333333333,29.415754,4.374920984903973,128477.03184044565
2024-12-23,68.42208333333333,47.269123,-21.152960255940755,128477.03184044565
2024-12-24,102.70875,68.47168,-34.237070312499995,125241.93921326574
2024-12-25,97.23625,87.6144,-9.621847229003905,125241.93921326574
2024-12-26,112.83416666666666,87.238686,-25.595481058756505,125241.93921326574
2024-12-27,120.35875,106.57821,-13.780541076660157,125241.93921326574
2024-12-28,120.63826086956524,101.28655,-19.351708440366025,125241.93921326574
2024-12-29,112.96166666666666,101.37363,-11.588039957682284,125241.93921326574
2024-12-30,117.8825,112.1022,-5.780296630859368,125241.93921326574
