datetime,forecast_error,equity
2024-08-13,-32.68573840416657,100000.0
2024-08-14,-22.178774353852788,100000.0
2024-08-15,18.135405661323823,100000.0
2024-08-16,-32.417042988311735,100000.0
2024-08-17,-19.76536554543796,100000.0
2024-08-18,-13.276382319074479,100000.0
2024-08-19,-20.795556209991048,100000.0
2024-08-20,24.993169403882156,101785.93778893145
2024-08-21,16.041248048899575,101785.93778893145
2024-08-22,11.426587137451378,101785.93778893145
2024-08-23,-7.055271482886745,101785.93778893145
2024-08-24,-13.36838885152169,98956.54811882772
2024-08-25,-1.6679739240411422,98991.8225410572
2024-08-26,-21.41864045623302,98991.8225410572
2024-08-27,-1.9013025695722803,99151.80838715815
2024-08-28,-38.67746312401306,99151.80838715815
2024-08-29,-28.37482170422213,99151.80838715815
2024-08-30,-22.48649156558055,99151.80838715815
2024-08-31,-12.567218451984317,99151.80838715815
2024-09-01,-26.07832801365643,99151.80838715815
2024-09-02,-34.234577471058515,99151.80838715815
2024-09-03,-14.55961544687743,99151.80838715815
2024-09-04,-10.592451761193217,98326.5525343892
2024-09-05,15.005365137239664,98326.5525343892
2024-09-06,-5.797622988901864,98326.5525343892
2024-09-07,-2.3598778592550715,100420.77995530308
2024-09-08,7.230277260471077,100420.77995530308
2024-09-09,-14.223086397731187,100420.77995530308
2024-09-10,15.389394211077303,100420.77995530308
2024-09-11,-19.922598027564135,100420.77995530308
2024-09-12,-9.748018573076124,100420.77995530308
2024-09-13,2.493425883326857,100481.12310576455
2024-09-14,-0.40314965638098954,100481.12310576455
2024-09-15,14.366274554702397,100481.12310576455
2024-09-16,8.239944156703856,100481.12310576455
2024-09-17,8.3705415497923,100481.12310576455
2024-09-18,-14.420021713063079,100481.12310576455
2024-09-19,-5.698937037198526,100481.12310576455
2024-09-20,-4.314692038560558,103484.1362400867
2024-09-21,-1.5410218887259077,103484.1362400867
2024-09-22,-7.891681948672343,103484.1362400867
2024-09-23,6.357232203466509,103484.1362400867
2024-09-24,2.8675720950669117,103484.1362400867
2024-09-25,11.411002416109255,103484.1362400867
2024-09-26,9.218123679679703,103484.1362400867
2024-09-27,8.648445501154734,100974.76597786263
2024-09-28,-10.958723524847507,100974.76597786263
2024-09-29,3.194650263445027,102404.20939333086
2024-09-30,16.5742955808888,102404.20939333086
2024-10-01,-36.526440819715404,102404.20939333086
2024-10-02,-30.96922043635675,102404.20939333086
2024-10-03,5.259488213455263,102404.20939333086
2024-10-04,-34.38567637597377,102404.20939333086
2024-10-05,-3.067776299763743,106997.52744768061
2024-10-06,6.660866840040079,106997.52744768061
2024-10-07,-9.355121014067457,106997.52744768061
2024-10-08,26.57813413227559,106997.52744768061
2024-10-09,4.0211290056451645,107309.91999326847
2024-10-10,-26.995642363768397,107309.91999326847
2024-10-11,-23.663988757250976,107309.91999326847
2024-10-12,4.588664057819962,108743.4369239716
2024-10-13,8.653160540437092,108743.4369239716
2024-10-14,-45.48312055634811,108743.4369239716
2024-10-15,-1.5125918751033396,110250.3812097301
2024-10-16,12.544160785241885,110250.3812097301
2024-10-17,-22.37780548606873,110250.3812097301
2024-10-18,-7.9255617641922385,110250.3812097301
2024-10-19,2.4243253754623595,111040.77368046105
2024-10-20,3.3150350408181364,111040.77368046105
2024-10-21,-36.08980446774696,111040.77368046105
2024-10-22,-15.277201878464737,111040.77368046105
2024-10-23,-7.262537238233975,111040.77368046105
2024-10-24,-0.8848911672599655,111926.06150633341
2024-10-25,-3.0274569091497696,111926.06150633341
