model,ml_r2,ml_mape,trading_return,sharpe_ratio,max_drawdown,win_rate,num_trades
random_forest,0.6411833313086917,29.66296360257167,0.275214106577583,2.223200158932875,-0.04223420404463259,0.6333333333333333,30
xgboost,0.6856746136735707,30.06445112939896,0.25241939213265735,1.9552120977086562,-0.042840986086816045,0.59375,32
lightgbm,0.677832514298171,28.2633201370861,0.19686268718628722,1.595689839610743,-0.07337000181194456,0.5517241379310345,29
ridge,0.43673870081904753,25.98674193360173,0.08364619318226091,1.0060609935375284,-0.07672870492472024,0.6551724137931034,29
