datetime,market_price,forecast_price,forecast_error,equity
2024-08-13,82.01916666666666,56.204246032850605,-25.814920633816058,100000.0
2024-08-14,84.56125,82.57575651044907,-1.985493489550933,99834.87617223617
2024-08-15,44.60434782608696,85.40693136413145,40.802583538044495,99834.87617223617
2024-08-16,77.575,47.406414763360054,-30.16858523663995,99834.87617223617
2024-08-17,73.81625,45.43365584848223,-28.382594151517765,99834.87617223617
2024-08-18,51.642500000000005,45.9523288581845,-5.6901711418155045,99834.87617223617
2024-08-19,86.56,79.31952985537309,-7.2404701446269115,99834.87617223617
2024-08-20,52.58833333333333,96.44484305717802,43.85650972384469,99834.87617223617
2024-08-21,40.18375,64.19893956049475,24.015189560494747,99834.87617223617
2024-08-22,38.18958333333333,56.09278137949763,17.9031980461643,99186.19323156294
2024-08-23,37.86875,45.65496732760909,7.786217327609094,99186.19323156294
2024-08-24,23.427916666666665,24.249744860444512,0.8218281937778471,97715.92810388157
2024-08-25,23.025,22.18924306402536,-0.83575693597464,97715.92810388157
2024-08-26,72.05958333333334,41.68161468933534,-30.377968643997995,97715.92810388157
2024-08-27,69.58874999999999,64.24993106760283,-5.33881893239716,97715.92810388157
2024-08-28,89.62583333333333,66.77230261062653,-22.853530722706807,97715.92810388157
2024-08-29,99.32125,86.67446166237038,-12.64678833762963,97715.92810388157
2024-08-30,95.24208333333333,87.55161118930458,-7.690472144028746,97715.92810388157
2024-08-31,68.08541666666666,74.05809324972056,5.972676583053897,97715.92810388157
2024-09-01,61.87125,57.03136816193373,-4.839881838066276,98397.63845132609
2024-09-02,105.09333333333336,86.80691821455399,-18.286415118779374,98397.63845132609
2024-09-03,104.7375,86.73656791811854,-18.00093208188146,98397.63845132609
2024-09-04,104.35125,90.31265277888907,-14.03859722111092,98397.63845132609
2024-09-05,83.46708333333333,91.1490917715553,7.68200843822197,98397.63845132609
2024-09-06,81.19625,94.93255477524403,13.736304775244022,98397.63845132609
2024-09-07,59.736250000000005,61.01804351988789,1.2817935198878843,100513.28694407527
2024-09-08,35.62347826086957,51.858871102668935,16.235392841799367,100513.28694407527
2024-09-09,58.13791666666666,65.56500580035605,7.427089133689385,100513.28694407527
2024-09-10,39.34,63.455222363923475,24.115222363923472,100513.28694407527
2024-09-11,64.33863636363637,59.35895978004978,-4.979676583586588,103389.49434939236
2024-09-12,68.63125000000001,63.273259539692475,-5.3579904603075335,103389.49434939236
2024-09-13,57.32375,65.53883551175889,8.215085511758893,103389.49434939236
2024-09-14,47.7375,47.88851319730542,0.15101319730542428,103389.49434939236
2024-09-15,27.0525,44.5906082715091,17.5381082715091,103389.49434939236
2024-09-16,40.63869565217392,42.41404306753361,1.7753474153596898,104787.16568951216
2024-09-17,31.07631578947369,43.557408609102616,12.481092819628927,104787.16568951216
2024-09-18,48.53458333333333,36.43206197633728,-12.10252135699605,104787.16568951216
2024-09-19,53.31208333333333,60.91143227220576,7.599348938872431,104787.16568951216
2024-09-20,57.02291666666667,59.921591843820444,2.898675177153777,107496.80478584171
2024-09-21,35.09166666666667,40.16214263889331,5.070475972226639,107496.80478584171
2024-09-22,44.075,23.461226296734953,-20.61377370326505,107496.80478584171
2024-09-23,55.97083333333333,62.244795547980054,6.273962214646723,107496.80478584171
2024-09-24,53.634166666666665,55.75181291664248,2.117646249975813,106458.72148954477
2024-09-25,39.43375,59.807911101991365,20.374161101991362,106458.72148954477
2024-09-26,26.91125,47.90414441191478,20.99289441191478,106458.72148954477
2024-09-27,15.239583333333334,22.25006300895549,7.010479675622156,103877.22098554023
2024-09-28,33.711739130434786,18.406050025408874,-15.305689105025913,103877.22098554023
2024-09-29,19.50208333333333,24.089204071828227,4.587120738494896,105347.75283690865
2024-09-30,15.12421052631579,31.994296013982115,16.870085487666323,105347.75283690865
2024-10-01,68.91958333333334,29.287979776124146,-39.63160355720919,105347.75283690865
2024-10-02,88.09208333333333,72.57392092334449,-15.518162409988847,105347.75283690865
2024-10-03,60.46434782608696,79.78470888444292,19.320361058355964,105347.75283690865
2024-10-04,89.27434782608695,57.182277220346386,-32.09207060574057,105347.75283690865
